TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
127.3748,"2020-05-30 08:59:39",上海,嘉定,9,0,7,2,0,0.7777778,0.2222222,0,0.2857143,3.5,0.01339286,0,0.01065449,0.2857143,0,1,,1,1,0,0.2222222,0.7777778,0.0001787843,0,0.0001506413,0.0005169294,0
127.3748,"2020-05-30 08:59:39",上海,境外输入,331,4,324,0,7,0.978852,0,0.02114804,0,,0.4925595,0.01333333,0.4931507,0,0.875,1,1,1,,0.04093567,0,1,0.006575288,0.01036269,0.00697254,0,0.0001841766
127.3748,"2020-05-30 08:59:39",上海,外地来沪,113,0,111,1,1,0.9823009,0.008849557,0.008849557,0.009009009,111,0.1681548,0,0.1689498,0.1428571,0.125,1,,1,1,0.25,0.008928572,0.9910714,0.002244736,0,0.002388741,0.0002584647,2.631094E-05
127.3748,"2020-05-30 08:59:39",上海,奉贤,9,0,9,0,0,1,0,0,0,,0.01339286,0,0.01369863,0,0,1,,1,,0,0,1,0.0001787843,0,0.0001936817,0,0
127.3748,"2020-05-30 08:59:39",上海,宝山,22,0,21,1,0,0.9545454,0.04545455,0,0.04761905,21,0.0327381,0,0.03196347,0.1428571,0,1,,1,1,0,0.04545455,0.9545454,0.0004370282,0,0.0004519239,0.0002584647,0
127.3748,"2020-05-30 08:59:39",上海,崇明,4,0,4,0,0,1,0,0,0,,0.005952381,0,0.00608828,0,0,1,,1,,0,0,1,7.945967E-05,0,8.608074E-05,0,0
127.3748,"2020-05-30 08:59:39",上海,徐汇,18,0,17,1,0,0.9444444,0.05555556,0,0.05882353,17,0.02678571,0,0.02587519,0.1428571,0,1,,1,1,0,0.05555556,0.9444444,0.0003575685,0,0.0003658432,0.0002584647,0
127.3748,"2020-05-30 08:59:39",上海,普陀,11,0,11,0,0,1,0,0,0,,0.01636905,0,0.01674277,0,0,1,,1,,0,0,1,0.0002185141,0,0.000236722,0,0
127.3748,"2020-05-30 08:59:39",上海,杨浦,9,0,9,0,0,1,0,0,0,,0.01339286,0,0.01369863,0,0,1,,1,,0,0,1,0.0001787843,0,0.0001936817,0,0
127.3748,"2020-05-30 08:59:39",上海,松江,14,0,14,0,0,1,0,0,0,,0.02083333,0,0.02130898,0,0,1,,1,,0,0,1,0.0002781089,0,0.0003012826,0,0
127.3748,"2020-05-30 08:59:39",上海,浦东,61,0,60,1,0,0.9836066,0.01639344,0,0.01666667,60,0.09077381,0,0.0913242,0.1428571,0,1,,1,1,0,0.01639344,0.9836066,0.00121176,0,0.001291211,0.0002584647,0
127.3748,"2020-05-30 08:59:39",上海,虹口,7,0,7,0,0,1,0,0,0,,0.01041667,0,0.01065449,0,0,1,,1,,0,0,1,0.0001390544,0,0.0001506413,0,0
127.3748,"2020-05-30 08:59:39",上海,金山,4,0,4,0,0,1,0,0,0,,0.005952381,0,0.00608828,0,0,1,,1,,0,0,1,7.945967E-05,0,8.608074E-05,0,0
127.3748,"2020-05-30 08:59:39",上海,长宁,13,0,13,0,0,1,0,0,0,,0.01934524,0,0.01978691,0,0,1,,1,,0,0,1,0.0002582439,0,0.0002797624,0,0
127.3748,"2020-05-30 08:59:39",上海,闵行,19,0,19,0,0,1,0,0,0,,0.02827381,0,0.02891933,0,0,1,,1,,0,0,1,0.0003774335,0,0.0004088835,0,0
127.3748,"2020-05-30 08:59:39",上海,青浦,6,0,6,0,0,1,0,0,0,,0.008928572,0,0.00913242,0,0,1,,1,,0,0,1,0.0001191895,0,0.0001291211,0,0
127.3748,"2020-05-30 08:59:39",上海,静安,16,0,15,1,0,0.9375,0.0625,0,0.06666667,15,0.02380952,0,0.02283105,0.1428571,0,1,,1,1,0,0.0625,0.9375,0.0003178387,0,0.0003228028,0.0002584647,0
127.3748,"2020-05-30 08:59:39",上海,黄浦,6,0,6,0,0,1,0,0,0,,0.008928572,0,0.00913242,0,0,1,,1,,0,0,1,0.0001191895,0,0.0001291211,0,0
89.63538,"2020-04-22 15:14:57",上海,待明确地区,0,0,4,2,,,,,0.5,2,0,0,0.007490637,0.2857143,,,,1,1,,0.3333333,0.6666667,0,0,8.608074E-05,0.0005169294,
60.54817,"2020-03-24 13:09:22",上海,境外输入人员,75,0,2,0,73,0.02666667,0,0.9733334,0,,0.1811594,,0.006079027,0,0.9012346,1,,1,,1,0,1,0.001489869,0,4.304037E-05,0,0.001920699
60.54817,"2020-03-24 13:09:22",上海,外地来人员,111,0,107,0,4,0.963964,0,0.03603604,0,,0.2681159,,0.325228,0,0.04938272,1,,1,,0.05,0,1,0.002205006,0,0.00230266,0,0.0001052438
