TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
91.39391,"2020-04-24 09:27:14",江苏,南京,93,0,93,0,0,1,0,0,0,,0.1424196,0,0.1439628,,0,1,,1,,0,0,1,0.001847694,0,0.00200155,0,0
91.39391,"2020-04-24 09:27:14",江苏,南通,40,0,40,0,0,1,0,0,0,,0.06125574,0,0.0619195,,0,1,,1,,0,0,1,0.0007947073,0,0.0008608815,0,0
91.39391,"2020-04-24 09:27:14",江苏,境外输入,22,0,15,0,7,0.6818182,0,0.3181818,0,,0.03369066,0,0.02321981,,1,1,,1,,0.35,0,1,0.000437089,0,0.0003228306,0,0.0001841766
91.39391,"2020-04-24 09:27:14",江苏,宿迁,13,0,13,0,0,1,0,0,0,,0.01990812,0,0.02012384,,0,1,,1,,0,0,1,0.0002582798,0,0.0002797865,0,0
91.39391,"2020-04-24 09:27:14",江苏,常州,51,0,51,0,0,1,0,0,0,,0.07810107,0,0.07894737,,0,1,,1,,0,0,1,0.001013252,0,0.001097624,0,0
91.39391,"2020-04-24 09:27:14",江苏,徐州,79,0,79,0,0,1,0,0,0,,0.1209801,0,0.122291,,0,1,,1,,0,0,1,0.001569547,0,0.001700241,0,0
91.39391,"2020-04-24 09:27:14",江苏,扬州,23,0,23,0,0,1,0,0,0,,0.03522205,0,0.03560372,,0,1,,1,,0,0,1,0.0004569567,0,0.0004950069,0,0
91.39391,"2020-04-24 09:27:14",江苏,无锡,55,0,55,0,0,1,0,0,0,,0.08422665,0,0.08513932,,0,1,,1,,0,0,1,0.001092723,0,0.001183712,0,0
91.39391,"2020-04-24 09:27:14",江苏,泰州,37,0,37,0,0,1,0,0,0,,0.05666156,0,0.05727554,,0,1,,1,,0,0,1,0.0007351042,0,0.0007963154,0,0
91.39391,"2020-04-24 09:27:14",江苏,淮安,66,0,66,0,0,1,0,0,0,,0.101072,0,0.1021672,,0,1,,1,,0,0,1,0.001311267,0,0.001420455,0,0
91.39391,"2020-04-24 09:27:14",江苏,盐城,27,0,27,0,0,1,0,0,0,,0.04134763,0,0.04179567,,0,1,,1,,0,0,1,0.0005364274,0,0.0005810951,0,0
91.39391,"2020-04-24 09:27:14",江苏,苏州,87,0,87,0,0,1,0,0,0,,0.1332312,0,0.1346749,,0,1,,1,,0,0,1,0.001728488,0,0.001872417,0,0
91.39391,"2020-04-24 09:27:14",江苏,连云港,48,0,48,0,0,1,0,0,0,,0.07350689,0,0.0743034,,0,1,,1,,0,0,1,0.0009536487,0,0.001033058,0,0
91.39391,"2020-04-24 09:27:14",江苏,镇江,12,0,12,0,0,1,0,0,0,,0.01837672,0,0.01857585,,0,1,,1,,0,0,1,0.0002384122,0,0.0002582645,0,0
60.4798,"2020-03-24 11:30:55",江苏,境外输入人员,5,0,0,0,5,0,0,1,,,0.007861636,,0,,1,1,,,,1,,,9.933841E-05,0,0,0,0.0001315547
26.37008,"2020-02-19 08:52:55",江苏,待明确地区,0,0,16,0,,,,,0,,0,,0.05405406,,,,,1,,,0,1,0,0,0.0003443526,0,
