TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
1.353608,"2020-01-25 08:29:11.753",山西,长治,1,0,0,0,1,0,0,1,,,0.1666667,,,,0.1666667,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
2.361203,"2020-01-26 08:40:07.920",山西,长治,1,0,0,0,1,0,0,1,,,0.1111111,,,,0.1111111,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
3.286724,"2020-01-27 06:52:52.939",山西,长治,1,0,0,0,1,0,0,1,,,0.07692308,,,,0.07692308,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
3.288123,"2020-01-27 06:54:53.856",山西,长治,1,0,0,0,1,0,0,1,,,0.07692308,,,,0.07692308,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
4.385461,"2020-01-28 09:15:03.842",山西,长治,1,0,0,0,1,0,0,1,,,0.05,,,,0.05,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
5.26548,"2020-01-29 06:22:17.437",山西,长治,1,0,0,0,1,0,0,1,,,0.03703704,,,,0.03703704,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
5.270373,"2020-01-29 06:29:20.222",山西,长治,1,0,0,0,1,0,0,1,,,0.03703704,,,,0.03703704,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
5.744059,"2020-01-29 17:51:26.672",山西,长治,1,0,0,0,1,0,0,1,,,0.03703704,,0,,0.03846154,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
5.752483,"2020-01-29 18:03:34.545",山西,长治,1,0,0,0,1,0,0,1,,,0.03703704,,0,,0.03846154,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
5.859553,"2020-01-29 20:37:45.412",山西,长治,1,0,0,0,1,0,0,1,,,0.03703704,,0,,0.03846154,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
5.860253,"2020-01-29 20:38:45.888",山西,长治,1,0,0,0,1,0,0,1,,,0.03703704,,0,,0.03846154,0.125,,0,,0.125,,,2.005173E-05,,0,0,2.631094E-05
