TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadDivideCuredNorm,ParentCuredDivideDeadNorm,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
49.40235,"2020-03-13 09:39:23",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
49.44934,"2020-03-13 10:47:03",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
49.64196,"2020-03-13 15:24:25",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
49.66941,"2020-03-13 16:03:57",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
50.29789,"2020-03-14 07:08:58",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
50.50932,"2020-03-14 12:13:25",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
51.3074,"2020-03-15 07:22:39",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
51.61229,"2020-03-15 14:41:42",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
51.61459,"2020-03-15 14:45:01",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
51.80852,"2020-03-15 19:24:16",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
52.05155,"2020-03-16 01:14:14",加纳,2,0,0,0,2,0,0,1,,,0.009803922,,0,0,0.01020408,,,1.811286E-06,0,0,0,8.684815E-06
52.05967,"2020-03-16 01:25:55",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
52.32067,"2020-03-16 07:41:46",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
52.32323,"2020-03-16 07:45:27",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
52.56194,"2020-03-16 13:29:12",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
52.60354,"2020-03-16 14:29:06",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
52.62066,"2020-03-16 14:53:45",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
53.02423,"2020-03-17 00:34:54",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
53.15181,"2020-03-17 03:38:36",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
53.32051,"2020-03-17 07:41:32",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
53.35588,"2020-03-17 08:32:28",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
53.58229,"2020-03-17 13:58:30",加纳,6,0,0,0,6,0,0,1,,,0.02941176,,0,0,0.03061225,,,5.433857E-06,0,0,0,2.605445E-05
