TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
38.90141,"2020-03-02 21:38:02",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
39.31321,"2020-03-03 07:31:01",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
39.33057,"2020-03-03 07:56:01",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
39.33206,"2020-03-03 07:58:10",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
39.38281,"2020-03-03 09:11:15",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
39.5819,"2020-03-03 13:57:56",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
40.30001,"2020-03-04 07:12:01",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
40.30981,"2020-03-04 07:26:08",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
41.30141,"2020-03-05 07:14:02",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
41.4014,"2020-03-05 09:38:01",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
41.44386,"2020-03-05 10:39:09",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
46.81252,"2020-03-10 19:30:02",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
48.37946,"2020-03-12 09:06:25",安道尔,1,0,0,0,1,0,0,1,,,0.001517451,,0,0,0.001984127,,,5.042564E-07,0,0,0,1.940817E-06
49.32215,"2020-03-13 07:43:54",安道尔,2,0,1,0,1,0.5,0,0.5,0,,0.003034901,,0.00625,0,0.001984127,0,1,1.008513E-06,0,1.908798E-06,0,1.940817E-06
49.37281,"2020-03-13 08:56:51",安道尔,2,0,1,0,1,0.5,0,0.5,0,,0.003034901,,0.00625,0,0.001984127,0,1,1.008513E-06,0,1.908798E-06,0,1.940817E-06
49.64196,"2020-03-13 15:24:25",安道尔,2,0,1,0,1,0.5,0,0.5,0,,0.003034901,,0.00625,0,0.001984127,0,1,1.008513E-06,0,1.908798E-06,0,1.940817E-06
49.66941,"2020-03-13 16:03:57",安道尔,2,0,1,0,1,0.5,0,0.5,0,,0.003034901,,0.00625,0,0.001984127,0,1,1.008513E-06,0,1.908798E-06,0,1.940817E-06
50.29789,"2020-03-14 07:08:58",安道尔,2,0,1,0,1,0.5,0,0.5,0,,0.003034901,,0.00625,0,0.001984127,0,1,1.008513E-06,0,1.908798E-06,0,1.940817E-06
50.50932,"2020-03-14 12:13:25",安道尔,2,0,1,0,1,0.5,0,0.5,0,,0.003034901,,0.00625,0,0.001984127,0,1,1.008513E-06,0,1.908798E-06,0,1.940817E-06
51.3074,"2020-03-15 07:22:39",安道尔,2,0,1,0,1,0.5,0,0.5,0,,0.003034901,,0.00625,0,0.001984127,0,1,1.008513E-06,0,1.908798E-06,0,1.940817E-06
51.61229,"2020-03-15 14:41:42",安道尔,2,0,1,0,1,0.5,0,0.5,0,,0.003034901,,0.00625,0,0.001984127,0,1,1.008513E-06,0,1.908798E-06,0,1.940817E-06
