TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadDivideCuredNorm,ParentCuredDivideDeadNorm,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
54.30642,"2020-03-18 07:21:15",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.33307,"2020-03-18 07:59:37",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.34127,"2020-03-18 08:11:26",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.348,"2020-03-18 08:21:07",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.35096,"2020-03-18 08:25:23",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.40119,"2020-03-18 09:37:43",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.40496,"2020-03-18 09:43:09",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.44709,"2020-03-18 10:43:49",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.47322,"2020-03-18 11:21:26",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.49352,"2020-03-18 11:50:40",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
54.50781,"2020-03-18 12:11:15",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
55.03998,"2020-03-19 00:57:34",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
55.54133,"2020-03-19 12:59:31",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
55.89919,"2020-03-19 21:34:50",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
55.90145,"2020-03-19 21:38:05",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
55.95621,"2020-03-19 22:56:57",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
55.95715,"2020-03-19 22:58:18",美属维尔京群岛,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,,,4.763311E-06,0,0,0,3.949993E-05
