TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
7.748356,"2020-01-31 17:57:38",英国,2,0,0,0,2,0,0,1,,,7.657437E-06,,0,0,8.939307E-06,,,3.593997E-07,0,0,0,1.660625E-06
8.116817,"2020-02-01 02:48:13",英国,2,0,0,0,2,0,0,1,,,7.657437E-06,,0,0,8.939307E-06,,,3.593997E-07,0,0,0,1.660625E-06
15.56442,"2020-02-08 13:32:46",英国,3,0,0,0,3,0,0,1,,,1.148616E-05,,0,0,1.340896E-05,,,5.390995E-07,0,0,0,2.490937E-06
17.58954,"2020-02-10 14:08:56",英国,3,0,0,0,3,0,0,1,,,1.148616E-05,,0,0,1.340896E-05,,,5.390995E-07,0,0,0,2.490937E-06
17.64382,"2020-02-10 15:27:06",英国,3,0,0,0,3,0,0,1,,,1.148616E-05,,0,0,1.340896E-05,,,5.390995E-07,0,0,0,2.490937E-06
17.83306,"2020-02-10 19:59:36",英国,3,0,0,0,3,0,0,1,,,1.148616E-05,,0,0,1.340896E-05,,,5.390995E-07,0,0,0,2.490937E-06
17.85282,"2020-02-10 20:28:04",英国,3,0,0,0,3,0,0,1,,,1.148616E-05,,0,0,1.340896E-05,,,5.390995E-07,0,0,0,2.490937E-06
18.31115,"2020-02-11 07:28:03",英国,3,0,0,0,3,0,0,1,,,1.148616E-05,,0,0,1.340896E-05,,,5.390995E-07,0,0,0,2.490937E-06
18.34921,"2020-02-11 08:22:52",英国,3,0,0,0,3,0,0,1,,,1.148616E-05,,0,0,1.340896E-05,,,5.390995E-07,0,0,0,2.490937E-06
18.39648,"2020-02-11 09:30:56",英国,3,0,0,0,3,0,0,1,,,1.148616E-05,,0,0,1.340896E-05,,,5.390995E-07,0,0,0,2.490937E-06
18.41413,"2020-02-11 09:56:21",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
18.4318,"2020-02-11 10:21:48",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
18.53716,"2020-02-11 12:53:31",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
18.67737,"2020-02-11 16:15:25",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
18.7851,"2020-02-11 18:50:33",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
18.80635,"2020-02-11 19:21:09",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
19.31034,"2020-02-12 07:26:53",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
19.38577,"2020-02-12 09:15:31",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
19.40022,"2020-02-12 09:36:19",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
19.93311,"2020-02-12 22:23:41",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
20.01333,"2020-02-13 00:19:12",英国,8,0,0,0,8,0,0,1,,,3.062975E-05,,0,0,3.575723E-05,,,1.437599E-06,0,0,0,6.642499E-06
