TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadDivideCuredNorm,ParentCuredDivideDeadNorm,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
0.1600851,"2020-01-24 03:50:31.353",辽宁,3,0,0,0,3,0,0,1,,,0.024,,0,0,0.03092784,,,3.724025E-05,,0,0,5.924989E-05
0.4866182,"2020-01-24 11:40:43.815",辽宁,4,0,0,0,4,0,0,1,,,0.032,,0,0,0.04123711,,,4.965367E-05,,0,0,7.899986E-05
0.4873199,"2020-01-24 11:41:44.442",辽宁,4,0,0,0,4,0,0,1,,,0.032,,0,0,0.04123711,,,4.965367E-05,,0,0,7.899986E-05
0.9826754,"2020-01-24 23:35:03.158",辽宁,4,0,0,0,4,0,0,1,,,0.032,,0,0,0.04123711,,,4.965367E-05,,0,0,7.899986E-05
1.328969,"2020-01-25 07:53:42.949",辽宁,12,0,0,0,12,0,0,1,,,0.096,,0,0,0.1237113,,,0.000148961,,0,0,0.0002369996
1.346608,"2020-01-25 08:19:06.958",辽宁,12,0,0,0,12,0,0,1,,,0.096,,0,0,0.1237113,,,0.000148961,,0,0,0.0002369996
1.347308,"2020-01-25 08:20:07.431",辽宁,12,0,0,0,12,0,0,1,,,0.096,,0,0,0.1237113,,,0.000148961,,0,0,0.0002369996
1.351508,"2020-01-25 08:26:10.260",辽宁,12,0,0,0,12,0,0,1,,,0.096,,0,0,0.1237113,,,0.000148961,,0,0,0.0002369996
1.352208,"2020-01-25 08:27:10.739",辽宁,12,0,0,0,12,0,0,1,,,0.096,,0,0,0.1237113,,,0.000148961,,0,0,0.0002369996
1.352908,"2020-01-25 08:28:11.215",辽宁,12,0,0,0,12,0,0,1,,,0.096,,0,0,0.1237113,,,0.000148961,,0,0,0.0002369996
1.52317,"2020-01-25 12:33:21.923",辽宁,15,0,0,0,15,0,0,1,,,0.12,,0,0,0.1546392,,,0.0001862012,,0,0,0.0002962495
1.532291,"2020-01-25 12:46:29.961",辽宁,15,0,0,0,15,0,0,1,,,0.12,,0,0,0.1546392,,,0.0001862012,,0,0,0.0002962495
1.532992,"2020-01-25 12:47:30.511",辽宁,15,0,0,0,15,0,0,1,,,0.12,,0,0,0.1546392,,,0.0001862012,,0,0,0.0002962495
