TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadDivideCuredNorm,ParentCuredDivideDeadNorm,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
45.58964,"2020-03-09 14:09:05",保加利亚,2,0,0,0,2,0,0,1,,,0.004123711,,0,0,0.004273504,,,1.710564E-06,0,0,0,7.663481E-06
45.75529,"2020-03-09 18:07:37",保加利亚,2,0,0,0,2,0,0,1,,,0.004123711,,0,0,0.004273504,,,1.710564E-06,0,0,0,7.663481E-06
46.29957,"2020-03-10 07:11:23",保加利亚,2,0,0,0,2,0,0,1,,,0.004123711,,0,0,0.004273504,,,1.710564E-06,0,0,0,7.663481E-06
46.52793,"2020-03-10 12:40:13",保加利亚,2,0,0,0,2,0,0,1,,,0.004123711,,0,0,0.004273504,,,1.710564E-06,0,0,0,7.663481E-06
46.81252,"2020-03-10 19:30:02",保加利亚,2,0,0,0,2,0,0,1,,,0.004123711,,0,0,0.004273504,,,1.710564E-06,0,0,0,7.663481E-06
47.30168,"2020-03-11 07:14:25",保加利亚,2,0,0,0,2,0,0,1,,,0.004123711,,0,0,0.004273504,,,1.710564E-06,0,0,0,7.663481E-06
47.46568,"2020-03-11 11:10:35",保加利亚,2,0,0,0,2,0,0,1,,,0.004123711,,0,0,0.004273504,,,1.710564E-06,0,0,0,7.663481E-06
47.58109,"2020-03-11 13:56:46",保加利亚,2,0,0,0,2,0,0,1,,,0.004123711,,0,0,0.004273504,,,1.710564E-06,0,0,0,7.663481E-06
48.29858,"2020-03-12 07:09:57",保加利亚,2,0,0,0,2,0,0,1,,,0.004123711,,0,0,0.004273504,,,1.710564E-06,0,0,0,7.663481E-06
48.32023,"2020-03-12 07:41:08",保加利亚,7,0,0,0,7,0,0,1,,,0.01443299,,0,0,0.01495726,,,5.986974E-06,0,0,0,2.682218E-05
48.33897,"2020-03-12 08:08:07",保加利亚,7,0,0,0,7,0,0,1,,,0.01443299,,0,0,0.01495726,,,5.986974E-06,0,0,0,2.682218E-05
48.37946,"2020-03-12 09:06:25",保加利亚,7,0,0,0,7,0,0,1,,,0.01443299,,0,0,0.01495726,,,5.986974E-06,0,0,0,2.682218E-05
48.54516,"2020-03-12 13:05:02",保加利亚,7,0,0,0,7,0,0,1,,,0.01443299,,0,0,0.01495726,,,5.986974E-06,0,0,0,2.682218E-05
49.30255,"2020-03-13 07:15:40",保加利亚,7,0,0,0,7,0,0,1,,,0.01443299,,0,0,0.01495726,,,5.986974E-06,0,0,0,2.682218E-05
49.32215,"2020-03-13 07:43:54",保加利亚,23,0,0,0,23,0,0,1,,,0.04742268,,0,0,0.0491453,,,1.967149E-05,0,0,0,8.813004E-05
49.37281,"2020-03-13 08:56:51",保加利亚,23,0,0,0,23,0,0,1,,,0.04742268,,0,0,0.0491453,,,1.967149E-05,0,0,0,8.813004E-05
49.64196,"2020-03-13 15:24:25",保加利亚,23,0,0,0,23,0,0,1,,,0.04742268,,0,0,0.0491453,,,1.967149E-05,0,0,0,8.813004E-05
49.66941,"2020-03-13 16:03:57",保加利亚,23,0,0,0,23,0,0,1,,,0.04742268,,0,0,0.0491453,,,1.967149E-05,0,0,0,8.813004E-05
50.29789,"2020-03-14 07:08:58",保加利亚,23,0,0,0,23,0,0,1,,,0.04742268,,0,0,0.0491453,,,1.967149E-05,0,0,0,8.813004E-05
50.33821,"2020-03-14 08:07:01",保加利亚,30,0,0,0,30,0,0,1,,,0.06185567,,0,0,0.06410257,,,2.565846E-05,0,0,0,0.0001149522
50.45054,"2020-03-14 10:48:47",保加利亚,30,0,0,0,30,0,0,1,,,0.06185567,,0,0,0.06410257,,,2.565846E-05,0,0,0,0.0001149522
